repoKey,repoType,foldersCount,filesCount,usedSpace,usedSpaceInBytes,itemsCount,packageType,projectKey,percentage
maven,VIRTUAL,0,0,0 bytes,0,0,Maven,default,0%
brep-launchpad-cache,CACHE,2,3,64.61 KB,66160,5,Debian,brep,0%
moxy-docker-dev-local,LOCAL,3,14,148.49 MB,155702172,17,Docker,moxy,0%
medp-docker-dev-local-replicated,LOCAL,0,0,0 bytes,0,0,Docker,medp,0%
docker-remote-cache,CACHE,20,57,475.66 MB,498762316,77,Docker,default,0%
medp-generic-dev-test,LOCAL,0,1,0 bytes,0,1,Generic,medp,0%
mrmp-maven-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,mrmp,0%
dssp-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,dssp,0%
brep-IOT-local,LOCAL,65,321,857.56 MB,899214698,386,Generic,brep,0.01%
rfm2-gradle-dev-local,LOCAL,1,3,75.06 MB,78708306,4,Gradle,rfm2,0%
vcet-docker-dev-local,LOCAL,106,980,6.87 GB,7377093660,1086,Docker,vcet,0.05%
gtia-ansible-sandbox,LOCAL,0,3,2.84 MB,2978989,3,Pypi,gtia,0%
mflw-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,mflw,0%
release-bundles,NA,35,0,0 bytes,0,35,NA,default,0%
rfm2-gradle-dev,VIRTUAL,0,0,0 bytes,0,0,Gradle,rfm2,0%
vcet-maven-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,vcet,0%
demo-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
medp-npm-dev,VIRTUAL,2,0,0 bytes,0,2,npm,medp,0%
core-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,core,0%
rfm2-docker-prod,VIRTUAL,0,0,0 bytes,0,0,Docker,rfm2,0%
gdap-docker-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,gdap,0%
medp-npm-dev-remote-cache,CACHE,3978,4184,342.50 MB,359137845,8162,npm,medp,0%
brep-docker-remote-cache,CACHE,271,2260,27.83 GB,29877129372,2531,Docker,brep,0.18%
mcdp-maven,VIRTUAL,31,2,30.51 KB,31238,33,Maven,mcdp,0%
mcdp-build-info,LOCAL,28,378,559.53 KB,572963,406,BuildInfo,mcdp,0%
ordr-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,ordr,0%
mcdp-docker,VIRTUAL,0,0,0 bytes,0,0,Docker,mcdp,0%
